Sample;Clusters;.15.F2t.IsoP;.15.keto.15.F2t.IsoP;.9.epi.15.F2t.IsoP;.5.F2t.IsoP;.5.epi.5.F2t.IsoP;.15.epi.15.E2t.IsoP;.15.E1t.IsoP;.8.F3t.IsoP;X.Tetranor.PGEM;X.Tetranor.PGAM;.15.keto.PGF2alpha;.11beta.PGF2alpha;X.PGDM;X.Tetranor.PGDM;X.PGE1
3,4-diCQA.4;DUAL EFFECT;28.92;22.79;10.42;122.74;395.58;23.15;47.08;13.12;29.25;54.84;37.57;36.41;156.17;0;9.16
3,4-diCQA.5;DUAL EFFECT;28.58;21.67;7.93;120.29;479.16;20.76;45.46;14.99;30.26;57.94;35.16;47.52;192.96;0;12.05
3,5-diCQA.1;ANTIINFLAMMATORIES;47.64;24.89;20.88;223.72;649.37;30.35;45.29;20.37;26.17;133.41;46.16;61.87;144.37;11.02;17
3,5-diCQA.2;ANTIINFLAMMATORIES;39.04;22.84;13.29;138.38;644.91;31.54;33.55;22.93;40;137.9;42.88;42.22;332.26;6.65;9.83
3,5-diCQA.3;ANTIINFLAMMATORIES;44.3;23.4;16.48;214.19;745.71;27.13;42.13;22;30.54;73.81;39.42;68.31;163.71;5.32;17.19
3,5-diCQA.4;ANTIINFLAMMATORIES;29.28;23.24;17.01;170;543.08;29.1;42;19.02;35.88;127.68;39.99;44.38;289.56;3.57;14.04
3,5-diCQA.5;ANTIINFLAMMATORIES;46.46;24.47;23.51;235.93;638.86;29.07;66.12;13.54;37.48;131.17;45.63;66.63;298.92;6.64;18.18
4,5-diCQA.1;ANTIINFLAMMATORIES;38.15;21.33;14.15;184.67;584.49;29.62;67.59;21.54;26.07;88.05;38.6;54.07;145.28;0;17.46
4,5-diCQA.2;ANTIINFLAMMATORIES;30.92;21.32;13.06;137.14;469.31;28.85;54.75;21.91;28.45;81.48;37.68;41.43;175.99;0;11.32
4,5-diCQA.3;ANTIINFLAMMATORIES;35.4;21.71;14.06;142.26;470.52;32.96;61.86;16.75;32.32;105.23;41.46;39.93;231.68;0;12.07
4,5-diCQA.4;ANTIINFLAMMATORIES;31.11;21.59;8.06;172.77;484.97;29.48;48.29;19.21;38.05;91.75;35.62;54.13;302.2;0;12.55
4,5-diCQA.5;ANTIINFLAMMATORIES;46.09;21.8;13.81;229.3;502.79;31.87;82.3;23.43;25.56;102.32;44.64;65.08;133.97;0;14.63
CoA.1;ANTIINFLAMMATORIES;36.12;24.08;18.46;178.82;464.13;32.49;54.12;21.17;27.16;113.23;38.91;54.04;150.8;0;14.41
CoA.2;ANTIINFLAMMATORIES;24.18;24.36;21.43;148.21;442.11;30.33;57.75;12.75;29.88;83.72;42.15;41.51;212.01;0;10.18
CoA.3;ANTIINFLAMMATORIES;37.37;22.35;22.31;135.2;456.2;35.12;29.31;16.15;32;83.02;37.78;46.11;230.75;0;9.25
CoA.4;ANTIINFLAMMATORIES;35.02;23.52;21.26;153.02;446.66;35.15;50.28;17.4;32.33;86.19;39.86;43.98;226.11;0;9.16
CoA.5;ANTIINFLAMMATORIES;35.72;24.01;22.6;188.68;515;27.36;60.88;19.05;28.1;97.46;40.28;49.64;184.09;0;11.54
Mix.1;DUAL EFFECT;16.87;23.92;7.74;72.64;202.06;18.42;15.65;5.06;32.15;80.25;31.33;10.29;232.35;4.2;3.85
Mix.2;DUAL EFFECT;10.23;21.11;0.88;64.22;236.28;20.17;18.49;8.99;32.55;69.78;32.66;10.84;233.09;4.2;6.21
Mix.3;DUAL EFFECT;15.35;22.22;4.92;66.89;293.45;15.44;1.82;6.32;26.8;71.32;34.23;15.53;155.75;4.86;6.53
Mix.4;DUAL EFFECT;34.34;22.75;9.26;119.86;383.46;22.68;32.93;6.49;31.75;43.92;38.54;52.44;222.48;2.94;9.59
Mix.5;DUAL EFFECT;24.2;23.64;15.92;80.46;278.91;28.9;61.4;6.66;22.48;70.46;35.53;28.37;84.27;4.79;15.55
